callsign	entity	grid	year	qsos	start_ts	end_ts
TL8AA, TL8ZZ	Central African Republic	JJ94	2022	92277	2022-11-13 03:59:00	2022-11-25 18:39:00
5R8..	Madagascar	LH31	2022	35526	2022-11-23 03:16:00	2022-12-03 09:55:00
FT8WW	Crozet Island	LE53	2022	50823	2022-12-25 05:32:00	2023-03-15 20:12:00
TN8K	Republic of the Congo	JI75	2023	164939	2023-01-07 01:46:00	2023-01-20 13:20:00
9U5R, 9U4WX	Burundi	KI46	2023	60148	2023-02-04 21:21:00	2023-03-07 15:34:00
3B7M	Agalega & St. Brandon Islands	LH89	2023	115429	2023-02-26 05:32:00	2023-03-08 10:39:00
9X5RU	Rwanda	KI48	2023	167325	2023-03-20 00:56:00	2023-04-05 06:18:00
CY0S	Sable Island	FN93	2023	84486	2023-03-21 03:15:00	2023-03-30 06:00:00
V26EI	Antigua & Barbuda	FK97	2023	54893	2023-03-25 04:22:00	2023-04-02 22:33:00
E6AF, E6CI	Niue	AH50	2023	41728	2023-03-28 07:27:00	2023-04-10 05:45:00
T30UN	Western Kiribati	RJ61	2023	111237	2023-04-09 12:52:00	2023-04-30 23:16:00
4W1A	Timor-Leste	PI21	2023	43270	2023-04-12 16:44:00	2023-04-22 08:08:00
E51CIK, E51WEG	South Cook Islands	BG08	2023	42359	2023-04-13 10:53:00	2023-04-28 05:59:00
VU7W	Lakshadweep Islands	MK60	2023	40110	2023-04-15 19:52:00	2023-04-28 23:33:00
T31TT	Central Kiribati	BJ11	2023	74786	2023-05-31 09:36:00	2023-06-09 07:00:00
VP6A	Ducie Island	CG75	2023	61816	2023-06-09 00:36:00	2023-06-24 22:13:00
4W6RU	Timor-Leste	PI21	2023	78912	2023-06-28 16:59:00	2023-07-20 17:25:00
9Q1AA, 9Q1ZZ	Dem. Rep. of the Congo	JI75	2023	71240	2023-07-07 14:13:00	2023-07-17 20:22:00
1A0C (2023)	Sov Military Order of Malta	JN61	2023	79959	2023-07-26 16:24:00	2023-08-02 13:15:00
E51D	North Cook Islands	AH79	2023	56970	2023-08-22 15:08:00	2023-09-09 00:24:00
T22T	Tuvalu	RI91	2023	92203	2023-09-21 02:31:00	2023-10-05 01:03:00
YJ0TT	Vanuatu	RH42	2023	49527	2023-09-24 06:33:00	2023-11-04 01:32:00
ZD9W	Tristan da Cunha & Gough Islands	IF32	2023	70112	2023-09-29 21:23:00	2023-10-23 02:28:00
5X3K	Uganda	KJ60	2023	60190	2023-09-29 23:15:00	2023-10-07 21:42:00
5W0LM	Samoa	AH46	2023	31003	2023-10-02 05:33:00	2023-10-13 20:28:00
TX6D	French Polynesia	BH52	2023	65877	2023-10-03 05:29:00	2023-10-15 10:56:00
W8S	Swains Island	AH48	2023	91630	2023-10-07 13:02:00	2023-10-17 07:28:00
T2C	Tuvalu	RI91	2023	112914	2023-10-10 13:10:00	2023-10-30 10:02:00
E6AM	Niue	AH50	2023	41923	2023-10-10 13:12:00	2023-10-23 20:59:00
TO8FH	Mayotte	LH27	2023	75632	2023-10-10 23:46:00	2023-10-22 09:42:00
A25R	Botswana	KG27	2023	146210	2023-10-27 16:59:00	2023-11-12 22:19:00
7O8AD, 7O8AE	Yemen	LK22	2023	57102	2023-11-03 20:55:00	2023-11-16 06:18:00
